date,hour,patients_arrived,flu_cases,covid_cases,staff_on_duty
2025-09-09,19,4,1,1,5
2025-09-09,20,6,5,2,9
2025-09-09,21,7,2,3,10
2025-09-09,22,7,4,0,3
2025-09-09,23,11,1,3,6
2025-09-10,0,6,1,0,10
2025-09-10,1,14,5,1,5
2025-09-10,2,17,5,2,4
2025-09-10,3,14,1,3,4
2025-09-10,4,18,1,1,4
2025-09-10,5,15,0,3,5
2025-09-10,6,16,5,3,7
2025-09-10,7,15,4,2,5
2025-09-10,8,17,5,3,10
2025-09-10,9,12,0,3,4
2025-09-10,10,14,3,0,6
2025-09-10,11,12,2,3,3
2025-09-10,12,11,2,2,6
2025-09-10,13,7,1,2,8
2025-09-10,14,10,2,3,9
2025-09-10,15,5,5,1,5
2025-09-10,16,5,0,3,7
2025-09-10,17,5,4,0,6
2025-09-10,18,1,1,0,3
2025-09-10,19,8,3,1,7
2025-09-10,20,4,3,2,7
2025-09-10,21,8,5,3,6
2025-09-10,22,7,1,3,4
2025-09-10,23,12,2,1,3
2025-09-11,0,12,5,2,8
2025-09-11,1,10,5,0,9
2025-09-11,2,16,3,0,7
2025-09-11,3,11,1,2,9
2025-09-11,4,17,2,0,4
2025-09-11,5,15,5,2,6
2025-09-11,6,16,0,1,8
2025-09-11,7,13,1,0,8
2025-09-11,8,9,4,1,7
2025-09-11,9,19,2,2,3
2025-09-11,10,10,2,3,8
2025-09-11,11,10,1,3,4
2025-09-11,12,8,2,0,10
2025-09-11,13,7,3,0,6
2025-09-11,14,9,2,2,5
2025-09-11,15,5,3,1,8
2025-09-11,16,3,1,1,6
2025-09-11,17,7,4,3,10
2025-09-11,18,3,0,1,3
2025-09-11,19,7,4,1,9
2025-09-11,20,3,4,0,4
2025-09-11,21,6,4,2,3
2025-09-11,22,8,5,0,10
2025-09-11,23,8,4,2,6
2025-09-12,0,7,1,2,7
2025-09-12,1,15,2,3,9
2025-09-12,2,14,0,3,10
2025-09-12,3,12,4,1,6
2025-09-12,4,7,0,1,8
2025-09-12,5,15,5,2,10
2025-09-12,6,14,4,2,8
2025-09-12,7,19,1,1,7
2025-09-12,8,13,3,1,10
2025-09-12,9,9,3,0,3
2025-09-12,10,12,4,2,10
2025-09-12,11,14,3,0,3
2025-09-12,12,14,4,1,3
2025-09-12,13,12,0,0,10
2025-09-12,14,6,0,0,10
2025-09-12,15,7,3,0,3
2025-09-12,16,6,0,3,5
2025-09-12,17,3,5,0,8
2025-09-12,18,1,1,2,4
2025-09-12,19,8,4,3,6
2025-09-12,20,7,5,2,8
2025-09-12,21,6,2,2,5
2025-09-12,22,8,5,2,4
2025-09-12,23,9,0,3,3
2025-09-13,0,5,5,0,8
2025-09-13,1,11,5,0,10
2025-09-13,2,13,2,2,6
2025-09-13,3,9,0,1,7
2025-09-13,4,13,4,3,9
2025-09-13,5,17,0,2,6
2025-09-13,6,18,0,2,6
2025-09-13,7,7,3,1,5
2025-09-13,8,18,2,1,8
2025-09-13,9,16,1,0,3
2025-09-13,10,13,1,2,8
2025-09-13,11,14,5,1,10
2025-09-13,12,7,0,3,10
2025-09-13,13,8,0,2,9
2025-09-13,14,8,4,1,9
2025-09-13,15,4,0,2,7
2025-09-13,16,6,5,3,5
2025-09-13,17,7,4,1,8
2025-09-13,18,8,1,1,6
2025-09-13,19,7,1,3,3
2025-09-13,20,8,5,1,5
2025-09-13,21,5,0,2,6
2025-09-13,22,7,0,0,9
2025-09-13,23,16,5,1,8
2025-09-14,0,12,4,1,5
2025-09-14,1,8,3,3,4
2025-09-14,2,9,3,3,5
2025-09-14,3,9,0,1,4
2025-09-14,4,13,3,1,9
2025-09-14,5,21,3,0,3
2025-09-14,6,20,2,2,9
2025-09-14,7,12,5,3,10
2025-09-14,8,13,1,2,3
2025-09-14,9,14,2,2,10
2025-09-14,10,6,2,3,4
2025-09-14,11,9,4,0,7
2025-09-14,12,15,0,0,4
2025-09-14,13,8,4,1,3
2025-09-14,14,8,3,3,8
2025-09-14,15,7,0,0,10
2025-09-14,16,4,0,1,4
2025-09-14,17,11,5,3,6
2025-09-14,18,3,1,1,7
2025-09-14,19,4,2,2,8
2025-09-14,20,2,5,3,10
2025-09-14,21,4,4,2,5
2025-09-14,22,8,1,2,7
2025-09-14,23,9,1,2,4
2025-09-15,0,10,1,0,9
2025-09-15,1,10,3,3,8
2025-09-15,2,12,2,0,5
2025-09-15,3,8,3,2,5
2025-09-15,4,6,5,1,4
2025-09-15,5,11,2,0,6
2025-09-15,6,14,2,1,3
2025-09-15,7,20,5,1,10
2025-09-15,8,16,5,3,8
2025-09-15,9,15,5,3,6
2025-09-15,10,15,0,2,7
2025-09-15,11,10,3,2,8
2025-09-15,12,14,5,0,3
2025-09-15,13,8,5,2,7
2025-09-15,14,4,3,2,3
2025-09-15,15,7,0,0,8
2025-09-15,16,2,1,1,7
2025-09-15,17,10,4,1,5
2025-09-15,18,4,0,3,9
2025-09-15,19,7,0,1,9
2025-09-15,20,7,0,3,4
2025-09-15,21,8,5,3,3
2025-09-15,22,8,4,3,4
2025-09-15,23,7,0,0,10
2025-09-16,0,14,1,2,6
2025-09-16,1,15,2,3,10
2025-09-16,2,10,2,3,5
2025-09-16,3,14,4,3,6
2025-09-16,4,16,0,1,10
2025-09-16,5,20,1,0,7
2025-09-16,6,19,3,3,5
2025-09-16,7,11,5,0,4
2025-09-16,8,15,4,0,8
2025-09-16,9,8,0,0,5
2025-09-16,10,12,5,3,6
2025-09-16,11,14,3,3,5
2025-09-16,12,8,2,0,7
2025-09-16,13,12,1,3,6
2025-09-16,14,5,3,1,7
2025-09-16,15,7,4,1,7
2025-09-16,16,9,3,0,8
2025-09-16,17,7,3,3,6
2025-09-16,18,8,2,1,4
2025-09-16,19,7,0,0,9
2025-09-16,20,9,0,0,6
2025-09-16,21,7,1,2,5
2025-09-16,22,3,3,2,9
2025-09-16,23,7,5,1,10
2025-09-17,0,14,4,3,7
2025-09-17,1,7,3,0,10
2025-09-17,2,8,0,3,6
2025-09-17,3,16,5,0,8
2025-09-17,4,10,3,2,4
2025-09-17,5,17,2,0,6
2025-09-17,6,8,0,1,9
2025-09-17,7,15,0,0,4
2025-09-17,8,10,5,1,6
2025-09-17,9,16,2,3,5
2025-09-17,10,12,2,3,5
2025-09-17,11,13,3,3,5
2025-09-17,12,11,2,3,9
2025-09-17,13,9,1,3,7
2025-09-17,14,9,3,3,8
2025-09-17,15,9,0,2,5
2025-09-17,16,6,1,1,10
2025-09-17,17,9,1,1,6
2025-09-17,18,5,5,3,9
2025-09-17,19,3,1,3,10
2025-09-17,20,2,0,2,9
2025-09-17,21,8,2,0,7
2025-09-17,22,8,3,2,7
2025-09-17,23,21,2,2,10
2025-09-18,0,9,3,3,10
2025-09-18,1,14,2,3,7
2025-09-18,2,16,3,2,4
2025-09-18,3,16,4,2,4
2025-09-18,4,19,4,2,6
2025-09-18,5,9,1,3,7
2025-09-18,6,15,4,3,6
2025-09-18,7,13,1,0,3
2025-09-18,8,14,3,0,6
2025-09-18,9,9,3,0,3
2025-09-18,10,13,5,0,3
2025-09-18,11,12,2,3,4
2025-09-18,12,6,3,0,7
2025-09-18,13,9,4,0,4
2025-09-18,14,7,2,0,4
2025-09-18,15,8,5,0,7
2025-09-18,16,2,2,0,3
2025-09-18,17,8,2,3,9
2025-09-18,18,2,5,3,3
2025-09-18,19,5,4,2,5
2025-09-18,20,4,4,3,3
2025-09-18,21,5,2,2,7
2025-09-18,22,13,0,0,8
2025-09-18,23,12,1,3,8
2025-09-19,0,13,1,2,5
2025-09-19,1,10,4,2,4
2025-09-19,2,17,2,3,7
2025-09-19,3,14,2,0,5
2025-09-19,4,15,1,2,9
2025-09-19,5,7,1,0,6
2025-09-19,6,11,1,0,9
2025-09-19,7,9,5,2,4
2025-09-19,8,17,2,1,3
2025-09-19,9,16,5,1,9
2025-09-19,10,7,1,3,5
2025-09-19,11,12,4,0,6
2025-09-19,12,9,3,0,3
2025-09-19,13,10,3,3,8
2025-09-19,14,8,3,0,7
2025-09-19,15,11,3,0,8
2025-09-19,16,9,2,2,10
2025-09-19,17,3,2,1,9
2025-09-19,18,6,0,1,4
2025-09-19,19,1,3,0,9
2025-09-19,20,2,5,2,5
2025-09-19,21,10,1,3,3
2025-09-19,22,9,4,0,8
2025-09-19,23,4,2,0,8
2025-09-20,0,6,4,3,3
2025-09-20,1,12,3,1,3
2025-09-20,2,14,5,0,7
2025-09-20,3,13,1,3,8
2025-09-20,4,11,1,2,4
2025-09-20,5,17,1,1,6
2025-09-20,6,16,3,2,4
2025-09-20,7,17,0,0,5
2025-09-20,8,12,2,0,10
2025-09-20,9,13,3,3,10
2025-09-20,10,14,4,0,5
2025-09-20,11,13,1,0,9
2025-09-20,12,9,0,1,4
2025-09-20,13,6,3,3,4
2025-09-20,14,8,5,3,5
2025-09-20,15,9,0,0,3
2025-09-20,16,5,5,1,7
2025-09-20,17,5,3,3,5
2025-09-20,18,2,1,2,8
2025-09-20,19,6,5,0,6
2025-09-20,20,8,2,1,10
2025-09-20,21,10,5,3,3
2025-09-20,22,7,4,3,7
2025-09-20,23,12,0,2,8
2025-09-21,0,11,5,1,10
2025-09-21,1,12,0,2,6
2025-09-21,2,7,3,0,6
2025-09-21,3,12,5,1,6
2025-09-21,4,21,2,1,8
2025-09-21,5,19,5,2,10
2025-09-21,6,9,0,0,5
2025-09-21,7,17,1,2,7
2025-09-21,8,8,0,0,6
2025-09-21,9,10,5,1,9
2025-09-21,10,11,4,3,10
2025-09-21,11,11,3,2,8
2025-09-21,12,9,3,1,3
2025-09-21,13,10,0,2,4
2025-09-21,14,5,2,2,7
2025-09-21,15,6,2,0,5
2025-09-21,16,6,1,1,6
2025-09-21,17,4,4,1,6
2025-09-21,18,4,1,3,10
2025-09-21,19,2,2,1,8
2025-09-21,20,5,5,1,6
2025-09-21,21,6,5,1,4
2025-09-21,22,8,0,3,8
2025-09-21,23,11,1,3,7
2025-09-22,0,11,3,2,3
2025-09-22,1,11,4,0,7
2025-09-22,2,17,0,2,7
2025-09-22,3,10,1,3,5
2025-09-22,4,13,1,1,8
2025-09-22,5,10,5,0,8
2025-09-22,6,11,4,2,5
2025-09-22,7,21,0,3,9
2025-09-22,8,14,5,1,7
2025-09-22,9,7,1,1,8
2025-09-22,10,17,5,2,7
2025-09-22,11,7,5,1,6
2025-09-22,12,10,3,3,6
2025-09-22,13,7,4,1,3
2025-09-22,14,6,4,3,4
2025-09-22,15,7,5,0,3
2025-09-22,16,5,5,2,9
2025-09-22,17,3,4,1,8
2025-09-22,18,4,1,1,3
2025-09-22,19,2,0,0,8
2025-09-22,20,2,2,0,10
2025-09-22,21,5,3,0,3
2025-09-22,22,7,1,1,9
2025-09-22,23,6,5,3,8
2025-09-23,0,8,1,2,6
2025-09-23,1,14,3,3,6
2025-09-23,2,11,2,1,3
2025-09-23,3,10,4,2,3
2025-09-23,4,9,4,0,5
2025-09-23,5,16,4,1,10
2025-09-23,6,16,5,2,6
2025-09-23,7,16,2,2,5
2025-09-23,8,13,3,0,7
2025-09-23,9,9,4,0,7
2025-09-23,10,17,2,0,7
2025-09-23,11,14,5,2,4
2025-09-23,12,10,5,3,8
2025-09-23,13,10,1,0,9
2025-09-23,14,9,4,3,3
2025-09-23,15,5,5,2,7
2025-09-23,16,7,0,0,10
2025-09-23,17,5,2,0,9
2025-09-23,18,5,0,2,6
2025-09-23,19,7,0,2,10
2025-09-23,20,5,3,1,3
2025-09-23,21,6,4,3,7
2025-09-23,22,7,3,1,6
2025-09-23,23,7,3,3,5
2025-09-24,0,10,4,3,10
2025-09-24,1,7,0,2,3
2025-09-24,2,16,1,0,7
2025-09-24,3,10,3,2,5
2025-09-24,4,15,3,1,6
2025-09-24,5,10,3,2,3
2025-09-24,6,16,1,1,6
2025-09-24,7,12,3,1,7
2025-09-24,8,13,0,2,9
2025-09-24,9,12,2,3,3
2025-09-24,10,17,2,0,9
2025-09-24,11,1,3,1,8
2025-09-24,12,8,2,3,5
2025-09-24,13,15,1,1,10
2025-09-24,14,7,0,0,6
2025-09-24,15,7,5,0,6
2025-09-24,16,6,3,1,3
2025-09-24,17,3,5,1,6
2025-09-24,18,5,1,2,9
2025-09-24,19,3,1,2,7
2025-09-24,20,5,0,2,4
2025-09-24,21,8,4,1,4
2025-09-24,22,10,2,2,8
2025-09-24,23,11,4,0,6
2025-09-25,0,7,4,2,9
2025-09-25,1,8,1,0,4
2025-09-25,2,12,4,2,10
2025-09-25,3,16,2,1,4
2025-09-25,4,18,4,3,4
2025-09-25,5,17,3,1,3
2025-09-25,6,17,2,2,5
2025-09-25,7,15,0,0,8
2025-09-25,8,19,1,1,7
2025-09-25,9,7,1,0,4
2025-09-25,10,15,4,2,7
2025-09-25,11,5,3,2,6
2025-09-25,12,11,5,2,9
2025-09-25,13,9,5,2,4
2025-09-25,14,6,1,0,10
2025-09-25,15,9,5,3,8
2025-09-25,16,9,4,3,3
2025-09-25,17,3,4,2,7
2025-09-25,18,2,2,1,5
2025-09-25,19,3,5,3,7
2025-09-25,20,10,4,2,9
2025-09-25,21,6,0,1,9
2025-09-25,22,5,5,3,10
2025-09-25,23,6,2,1,7
2025-09-26,0,6,5,3,5
2025-09-26,1,14,1,2,3
2025-09-26,2,12,0,0,6
2025-09-26,3,17,1,0,7
2025-09-26,4,16,1,0,8
2025-09-26,5,20,4,1,7
2025-09-26,6,17,4,2,7
2025-09-26,7,17,1,2,7
2025-09-26,8,20,5,1,4
2025-09-26,9,21,0,3,5
2025-09-26,10,13,2,2,5
2025-09-26,11,14,4,3,7
2025-09-26,12,13,1,2,4
2025-09-26,13,5,1,0,3
2025-09-26,14,5,5,2,6
2025-09-26,15,10,2,0,10
2025-09-26,16,9,4,0,4
2025-09-26,17,2,5,2,9
2025-09-26,18,7,4,0,8
2025-09-26,19,6,3,3,8
2025-09-26,20,4,4,1,10
2025-09-26,21,7,2,3,8
2025-09-26,22,11,5,3,9
2025-09-26,23,7,0,1,4
2025-09-27,0,8,3,0,9
2025-09-27,1,5,0,0,3
2025-09-27,2,9,2,1,10
2025-09-27,3,21,4,3,6
2025-09-27,4,9,1,3,4
2025-09-27,5,18,1,3,4
2025-09-27,6,18,0,3,8
2025-09-27,7,21,4,3,7
2025-09-27,8,16,0,3,7
2025-09-27,9,19,1,0,9
2025-09-27,10,14,4,3,3
2025-09-27,11,6,4,3,6
2025-09-27,12,12,1,2,6
2025-09-27,13,9,0,0,5
2025-09-27,14,6,5,2,6
2025-09-27,15,9,4,2,4
2025-09-27,16,2,0,3,10
2025-09-27,17,5,3,3,10
2025-09-27,18,6,2,0,7
2025-09-27,19,8,5,1,7
2025-09-27,20,4,3,3,7
2025-09-27,21,5,0,3,9
2025-09-27,22,10,2,2,8
2025-09-27,23,14,4,3,5
2025-09-28,0,6,3,0,10
2025-09-28,1,8,4,2,3
2025-09-28,2,16,2,1,9
2025-09-28,3,19,3,0,3
2025-09-28,4,19,5,0,4
2025-09-28,5,12,5,2,3
2025-09-28,6,16,5,2,6
2025-09-28,7,11,3,1,8
2025-09-28,8,13,2,0,4
2025-09-28,9,10,5,3,5
2025-09-28,10,11,0,0,9
2025-09-28,11,14,1,3,8
2025-09-28,12,6,0,1,5
2025-09-28,13,7,4,1,9
2025-09-28,14,7,4,2,8
2025-09-28,15,10,0,1,6
2025-09-28,16,6,4,0,4
2025-09-28,17,7,1,3,8
2025-09-28,18,7,2,1,6
2025-09-28,19,6,1,3,5
2025-09-28,20,4,2,2,4
2025-09-28,21,7,5,2,3
2025-09-28,22,5,5,3,3
2025-09-28,23,2,2,2,9
2025-09-29,0,11,1,2,8
2025-09-29,1,9,3,1,9
2025-09-29,2,4,2,1,3
2025-09-29,3,15,3,0,7
2025-09-29,4,17,4,1,5
2025-09-29,5,15,0,0,8
2025-09-29,6,18,1,1,3
2025-09-29,7,14,3,0,7
2025-09-29,8,16,4,0,5
2025-09-29,9,18,3,3,6
2025-09-29,10,15,5,0,9
2025-09-29,11,14,4,0,9
2025-09-29,12,9,4,2,5
2025-09-29,13,4,0,2,7
2025-09-29,14,7,4,1,5
2025-09-29,15,4,0,2,10
2025-09-29,16,2,5,0,5
2025-09-29,17,3,4,2,5
2025-09-29,18,5,2,0,4
2025-09-29,19,7,2,0,6
2025-09-29,20,4,0,1,9
2025-09-29,21,6,1,2,10
2025-09-29,22,9,0,0,4
2025-09-29,23,4,5,2,4
2025-09-30,0,7,1,1,5
2025-09-30,1,9,3,1,3
2025-09-30,2,11,4,1,6
2025-09-30,3,12,1,3,6
2025-09-30,4,13,5,2,10
2025-09-30,5,8,4,1,3
2025-09-30,6,9,4,3,10
2025-09-30,7,17,0,2,3
2025-09-30,8,9,3,0,10
2025-09-30,9,10,0,1,3
2025-09-30,10,10,5,1,3
2025-09-30,11,16,1,0,4
2025-09-30,12,11,2,0,6
2025-09-30,13,9,3,0,5
2025-09-30,14,5,3,3,6
2025-09-30,15,2,5,1,6
2025-09-30,16,4,5,3,3
2025-09-30,17,2,3,2,7
2025-09-30,18,2,3,1,3
2025-09-30,19,4,2,0,7
2025-09-30,20,5,4,2,3
2025-09-30,21,10,1,1,3
2025-09-30,22,6,4,0,7
2025-09-30,23,6,0,1,7
